scenario_id,divergence_span,last_writer_wins,naive_concat,branch_discard_always_b,branch_discard_fewer_updates,three_way_llm
synth_2026_0000,4.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.8571428571428571
synth_2026_0001,4.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.8571428571428571
synth_2026_0002,4.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0
synth_2026_0003,4.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2026_0004,4.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143
synth_2026_0005,4.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.8571428571428571
synth_2026_0006,4.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2026_0007,4.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2026_0008,4.0,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.8571428571428571
synth_2026_0009,4.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143
synth_2026_0010,4.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2026_0011,4.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2026_0012,4.0,0.7142857142857143,0.8571428571428571,0.2857142857142857,0.2857142857142857,1.0
synth_2026_0013,4.0,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143
synth_2026_0014,4.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2026_0015,4.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2026_0016,4.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2026_0017,4.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0
synth_2026_0018,4.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.8571428571428571
synth_2026_0019,4.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.8571428571428571
synth_2027_0000,10.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571
synth_2027_0001,10.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2027_0002,10.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2027_0003,10.0,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.7142857142857143
synth_2027_0004,10.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2027_0005,10.0,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0
synth_2027_0006,10.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0
synth_2027_0007,10.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2027_0008,10.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571
synth_2027_0009,10.0,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0
synth_2027_0010,10.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2027_0011,10.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2027_0012,10.0,0.7142857142857143,0.8571428571428571,0.2857142857142857,0.2857142857142857,1.0
synth_2027_0013,10.0,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0
synth_2027_0014,10.0,0.7142857142857143,0.8571428571428571,0.2857142857142857,0.2857142857142857,1.0
synth_2027_0015,10.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2027_0016,10.0,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.2857142857142857,1.0
synth_2027_0017,10.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.8571428571428571
synth_2027_0018,10.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2027_0019,10.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.8571428571428571
synth_2028_0000,20.0,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.2857142857142857,1.0
synth_2028_0001,20.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571
synth_2028_0002,20.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143
synth_2028_0003,20.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0004,20.0,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.2857142857142857,1.0
synth_2028_0005,20.0,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.8571428571428571
synth_2028_0006,20.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571
synth_2028_0007,20.0,0.7142857142857143,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.8571428571428571
synth_2028_0008,20.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0
synth_2028_0009,20.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0010,20.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0011,20.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571
synth_2028_0012,20.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0013,20.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571
synth_2028_0014,20.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0015,20.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0016,20.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571
synth_2028_0017,20.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0018,20.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0
synth_2028_0019,20.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0